Cited Journal Data: COGNITION AND INSTRUCTION,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1,,ALL Journals,344,1,3,13,16,18,24,30,51,23,16,149
2,,ALL OTHERS (63),63,0,0,6,2,4,1,1,4,4,2,39
3,0.696,COGNITION INSTRUCT,27,0,0,1,5,1,2,3,6,0,1,8
4,1.844,J EDUC PSYCHOL,24,0,0,0,0,3,0,1,1,1,2,16
5,0.705,INT J SCI EDUC,19,0,0,1,1,0,4,1,9,0,0,3
6,0.212,J COMPUT ASSIST LEAR,14,0,0,0,0,0,1,3,0,1,3,6
7,0.992,J RES SCI TEACH,11,0,0,1,1,0,1,1,0,2,2,3
8,0.577,HUM DEV,9,0,0,0,0,0,1,0,5,2,0,1
9,0.536,LEARN INSTR,9,0,0,0,1,1,2,0,2,1,0,2
10,2.622,COGNITION,8,0,0,0,0,0,1,1,1,0,1,4
11,1.000,J LEARN DISABIL-US,8,0,0,0,0,1,0,0,0,0,0,7
12,1.286,J LEARN SCI,8,0,1,0,1,0,1,0,4,0,0,1
13,0.294,J RES MATH EDUC,7,0,0,0,0,0,1,1,0,1,0,4
14,,AM J PHYS,6,0,0,0,0,0,0,2,2,0,0,2
15,0.386,J EXP EDUC,6,1,0,0,0,0,1,0,1,0,1,2
16,,AM STAT,5,0,0,0,0,0,0,1,0,1,0,3
17,1.629,COGNITIVE SCI,5,0,0,0,0,1,0,0,2,0,0,2
18,0.595,CONTEMP EDUC PSYCHOL,5,0,0,0,0,0,0,1,0,0,0,4
19,0.651,INSTR SCI,5,0,0,0,0,0,0,0,0,1,0,4
20,0.477,J APPL DEV PSYCHOL,5,0,0,0,1,1,0,1,0,0,0,2
21,0.086,J EDUC COMPUT RES,5,0,0,0,0,1,0,0,0,1,0,3
22,0.537,BRIT J EDUC PSYCHOL,4,0,0,0,0,0,1,1,0,0,0,2
23,0.500,CAN J EXP PSYCHOL,4,0,0,0,0,0,0,0,2,0,0,2
24,1.357,DEV REV,4,0,0,0,0,0,0,0,1,1,0,2
25,0.211,EDUC GERONTOL,4,0,0,0,0,0,0,1,0,0,1,2
26,3.517,EDUC PSYCHOL,4,0,1,2,0,0,0,0,0,0,0,1
27,0.918,SCI EDUC,4,0,0,0,1,0,0,1,1,1,0,0
28,1.743,Z PADAGOG PSYCHOL,4,0,0,0,0,0,0,1,0,0,0,3
29,0.800,BRIT J DEV PSYCHOL,3,0,0,0,0,0,1,0,1,1,0,0
30,0.865,ELEM SCHOOL J,3,0,0,0,0,0,1,0,0,0,0,2
31,,IBM SYST J,3,0,0,0,1,0,0,0,1,1,0,0
32,0.375,INT REV RES MENT RET,3,0,0,0,0,0,2,0,0,0,0,1
33,1.730,J APPL PSYCHOL,3,0,0,0,0,0,0,1,0,0,1,1
34,0.438,J CURRICULUM STUD,3,0,0,0,1,0,0,0,1,1,0,0
35,0.040,JPN J EDUC PSYCHOL,3,0,0,0,1,0,0,0,0,1,0,1
36,0.603,REM SPEC EDUC,3,0,0,0,0,0,0,0,0,0,0,3
37,0.212,TRAV HUMAIN,3,0,0,0,0,0,1,1,1,0,0,0
38,0.929,APPL COGNITIVE PSYCH,2,0,0,0,0,0,0,0,0,1,1,0
39,,B COUN RES MUSIC ED,2,0,0,0,0,0,0,1,0,0,0,1
40,,BRIT EDUC RES J,2,0,0,0,0,1,0,0,1,0,0,0
41,,CAN J PHYS,2,0,0,0,0,0,0,2,0,0,0,0
42,0.300,COMPUT EDUC,2,0,0,0,0,0,0,0,0,0,0,2
43,0.084,DRUS ISTRAZ,2,0,0,0,0,0,0,0,0,0,0,2
44,0.857,EDUC EVAL POLICY AN,2,0,1,0,0,0,0,0,0,0,0,1
45,0.667,EDUC RES,2,0,0,0,0,0,0,0,1,0,0,1
46,0.177,ETR&D-EDUC TECH RES,2,0,0,0,0,1,1,0,0,0,0,0
47,,FOCUS EXCEPT CHILD,2,0,0,0,0,0,0,0,0,0,0,2
48,0.617,J SPEC EDUC,2,0,0,0,0,0,0,1,0,0,0,1
49,0.585,LANG SPEECH HEAR SER,2,0,0,2,0,0,0,0,0,0,0,0
50,1.507,MEM COGNITION,2,0,0,0,0,2,0,0,0,0,0,0
51,0.886,SOC DEV,2,0,0,0,0,0,0,0,1,1,0,0
52,,TEACH LEARN MED,2,0,0,0,0,0,0,0,1,0,1,0
53,0.317,TEACH TEACH EDUC,2,0,0,0,0,0,0,0,1,0,0,1
54,0.393,TECH COMMUN,2,0,0,0,0,1,0,1,0,0,0,0
55,0.404,TOP LANG DISORD,2,0,0,0,0,0,0,0,1,0,0,1
56,0.295,YOUNG CHILDREN,2,0,0,0,0,0,1,1,0,0,0,0
57,0.189,Z PADAGOGIK,2,0,0,0,0,0,0,1,0,0,0,1
Copyright Â© 2018 Clarivate Analytics,,,,,,,,,,,,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,,,,,,,,,,,
