Citing Journal Data: PHILOSOPHICAL PSYCHOLOGY,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1, ,ALL Journals,1062,4,36,63,57,78,80,58,56,65,50,515
2, ,ALL OTHERS (508),508,0,20,28,28,31,37,29,31,25,23,256
3,14.250,BEHAV BRAIN SCI,22,0,1,4,3,1,0,0,1,1,0,11
4, ,J PHILOS,17,0,0,1,1,0,3,1,1,0,0,10
5,6.069,PSYCHOL REV,13,0,0,1,0,0,1,1,1,0,2,7
6, ,MIND,12,0,0,0,0,0,1,0,2,0,3,6
7, ,PHILOS REV,12,0,0,0,0,0,0,0,2,0,0,10
8,2.622,COGNITION,11,0,0,0,0,0,0,1,0,2,0,8
9, ,SCIENCE,11,0,0,0,1,1,1,0,0,1,3,4
10, ,ARTIF INTELL,10,0,0,0,0,0,5,0,0,0,3,2
11,2.768,CHILD DEV,10,0,0,0,0,0,0,0,1,0,2,7
12,1.629,COGNITIVE SCI,10,0,0,1,0,0,1,1,1,1,0,5
13,0.385,MIND LANG,10,0,0,1,1,1,0,0,0,1,0,6
14,0.471,PHILOS PSYCHOL,10,4,1,2,2,1,0,0,0,0,0,0
15, ,MAPPING MIND DOMAIN,9,0,0,0,0,0,0,9,0,0,0,0
16, ,SCI OLFACTION,8,0,0,0,0,0,0,0,0,8,0,0
17,2.247,J EXP PSYCHOL HUMAN,7,0,0,1,0,1,2,0,0,1,0,2
18, ,MACH LEARN,7,0,0,0,0,1,0,1,0,0,0,5
19, ,P NATL ACAD SCI USA,7,0,0,0,1,2,0,0,0,0,0,4
20, ,PAIN,7,0,2,0,1,1,0,0,0,1,0,2
21, ,PHILOS PERSPECTIVES,7,0,0,1,0,1,0,2,0,0,0,3
22,6.857,AM PSYCHOL,6,0,0,0,0,1,0,0,1,0,0,4
23, ,HDB PAIN ASSESSMENT,6,0,0,0,0,0,0,0,0,6,0,0
24, ,PHENOMENOL PERCEPT,6,0,0,0,0,0,0,0,0,0,0,6
25, ,PHILOS PHENOMEN RES,6,0,0,1,0,0,2,2,0,1,0,0
26,0.663,PHILOS SCI,6,0,2,0,1,0,0,0,0,0,0,3
27, ,THOUGHT LANGUAGE,6,0,0,0,0,0,0,0,0,0,0,6
28,0.962,COGNITIVE DEV,5,0,0,0,0,0,0,0,0,0,2,3
29,2.180,COGNITIVE NEUROPSYCH,5,0,0,0,1,0,0,0,1,1,0,2
30, ,J CONSCIOUSNESS STUD,5,0,1,1,0,2,1,0,0,0,0,0
31, ,J NEUROSCI,5,0,0,0,0,3,0,0,0,0,0,2
32, ,MIND MOTION,5,0,0,0,0,0,5,0,0,0,0,0
33, ,PAIN MEAS ASS,5,0,0,0,0,0,0,0,0,0,0,5
34, ,PSYCHOL PAIN,5,0,0,0,0,0,0,0,0,0,0,5
35, ,REDISCOVERY MIND,5,0,0,0,0,0,0,0,0,5,0,0
36,0.147,SYNTHESE,5,0,0,0,0,0,0,1,1,0,0,3
37, ,ATTENTION PERFORM,4,0,0,0,0,0,0,0,0,1,0,3
38, ,BRAIN,4,0,0,0,1,0,0,0,0,0,0,3
39,3.463,COGNITIVE PSYCHOL,4,0,0,0,0,1,0,0,1,0,2,0
40,1.478,ETHICS,4,0,0,0,2,0,0,0,0,0,0,2
41,1.276,J EXP CHILD PSYCHOL,4,0,0,0,1,0,0,0,0,0,0,3
42, ,MIND MOTION EXPLORAT,4,0,0,0,0,0,4,0,0,0,0,0
43, ,NAT CONSCIOUSNESS,4,0,0,0,4,0,0,0,0,0,0,0
44, ,NATURE,4,0,0,0,0,1,1,0,0,0,0,2
45,2.565,PSYCHOL SCI,4,0,1,0,0,0,1,0,2,0,0,0
46, ,REFLECTIONS CHOMSKY,4,0,0,0,0,0,0,0,0,0,0,4
47, ,TASTE OLFACTION CENT,4,0,0,0,0,0,0,0,0,0,0,4
48, ,VISION,4,0,0,0,0,0,0,0,0,0,0,4
49, ,ANALYSIS,3,0,0,1,0,2,0,0,0,0,0,0
50, ,BEING THERE PUTTING,3,0,0,1,2,0,0,0,0,0,0,0
51, ,CHURCHLANDS THEIR CR,3,0,0,0,0,3,0,0,0,0,0,0
52, ,CONSCIOUS MIND,3,0,0,0,0,3,0,0,0,0,0,0
53, ,ECOL APPROACH,3,0,0,0,0,0,0,0,0,0,0,3
54,1.240,ECOL PSYCHOL,3,0,1,0,0,1,0,0,0,1,0,0
55,3.636,J EXP PSYCHOL GEN,3,0,0,0,0,1,0,0,0,0,0,2
56,1.141,J MOTOR BEHAV,3,0,0,0,1,0,0,0,0,1,0,1
57, ,J NEUROPHYSIOL,3,0,0,1,1,0,0,0,0,0,0,1
58, ,LANGUAGE THOUGHT CON,3,0,0,0,0,3,0,0,0,0,0,0
59, ,MIDWEST STUD PHILOS,3,0,0,0,0,0,0,0,0,1,0,2
60, ,MODULARITY DEV PERSP,3,0,0,0,0,0,0,0,0,3,0,0
61, ,MODULARITY KNOWLEDGE,3,0,0,0,0,0,0,0,0,0,0,3
62, ,NEUROCOMPUTATIONAL P,3,0,0,0,0,0,0,0,0,0,0,3
63, ,PAC PHILOS QUART,3,0,0,0,0,0,0,0,0,0,1,2
64, ,PHILOS QUART,3,0,0,0,0,0,0,0,0,0,0,3
65, ,SCI AM,3,0,0,0,0,0,0,1,0,0,0,2
66, ,SENSORY PROCESSING M,3,0,0,0,0,0,0,0,0,0,0,3
67, ,STRUCT BEHAV,3,0,0,0,0,0,0,0,0,0,0,3
68, ,SUPERVENIENCE MIND,3,0,0,0,0,0,0,0,3,0,0,0
69, ,THEORIES THEORIES MI,3,0,0,0,0,3,0,0,0,0,0,0
70, ,ANN NEUROL,2,0,1,0,0,0,0,0,0,0,0,1
71, ,ARC C THEOR MIND COG,2,0,0,2,0,0,0,0,0,0,0,0
72, ,BEING TIME,2,0,0,0,0,0,0,0,0,0,0,2
73, ,BIOL CYBERN,2,0,0,0,0,0,0,0,0,0,1,1
74,0.627,BIOL PHILOS,2,0,0,0,0,0,0,0,0,0,0,2
75,0.867,BRIT J PHILOS SCI,2,0,0,0,0,0,1,0,0,1,0,0
76, ,CATEGORIES CONCEPTS,2,0,0,0,0,0,0,0,0,0,0,2
77, ,CEMENT UNIVERSE,2,0,0,0,0,0,0,0,0,0,0,2
78, ,CHILDS THEOR MIND,2,0,0,0,0,0,0,0,0,0,0,2
79, ,COFFEE CHEM,2,0,0,0,0,0,0,0,0,0,0,2
80,1.863,COGNITION EMOTION,2,0,0,0,0,0,0,0,1,1,0,0
81, ,COGNITIVE NEUROSCIEN,2,0,0,0,0,1,1,0,0,0,0,0
82, ,CONSCIOUS EXPERIENCE,2,0,0,0,0,1,1,0,0,0,0,0
83, ,CONSCIOUS MIND SEARC,2,0,0,0,0,2,0,0,0,0,0,0
84, ,CONSCIOUSNESS,2,0,0,0,0,0,0,0,0,0,1,1
85, ,CONSCIOUSNESS ACTION,2,0,0,2,0,0,0,0,0,0,0,0
86, ,CONSCIOUSNESS EXPERI,2,0,0,0,0,2,0,0,0,0,0,0
87, ,CONSCIOUSNESS PHILOS,2,0,0,0,0,0,0,2,0,0,0,0
88, ,CONSCIOUSNESS RES AB,2,0,0,2,0,0,0,0,0,0,0,0
89,2.044,DEV PSYCHOL,2,0,0,0,0,0,0,0,0,0,0,2
90, ,DEV THEORIES MIND,2,0,0,0,0,0,0,0,0,0,0,2
91, ,DYNAMIC PATTERNS SEL,2,0,0,0,0,0,2,0,0,0,0,0
92, ,DYNAMIC SYST APPR,2,0,0,0,0,0,1,1,0,0,0,0
93, ,EFFICACY AGENCY SELF,2,0,0,0,0,0,2,0,0,0,0,0
94, ,EMBODIED MIND,2,0,0,0,0,0,0,0,2,0,0,0
95, ,ENGINE REASON SEAT S,2,0,0,0,0,0,2,0,0,0,0,0
96, ,ESSAYS ACTIONS EVENT,2,0,0,0,0,0,0,0,0,0,0,2
97, ,ETHICS ANIMALS,2,0,0,0,0,0,0,0,0,0,0,2
98, ,EXPLORING BRAIN FUNC,2,0,0,0,0,0,0,0,0,0,2,0
99, ,FOLKBIOLOGY,2,0,1,1,0,0,0,0,0,0,0,0
100, ,IN PRESS COGNITIVE S,2,0,0,0,0,0,0,0,0,0,0,2
101, ,INDIVIDUALS,2,0,0,0,0,0,0,0,0,0,0,2
102, ,INDUCTIVE INFERENCE,2,0,0,0,0,0,0,0,2,0,0,0
103,1.188,INFANT BEHAV DEV,2,0,0,0,0,0,0,1,0,0,0,1
104, ,INTERPRETING HIERARC,2,0,0,0,0,0,0,2,0,0,0,0
105, ,J ARTIF INTELL RES,2,0,0,0,1,1,0,0,0,0,0,0
106,1.067,J CLIN EXP NEUROPSYC,2,0,0,0,0,0,1,0,0,0,0,1
107,2.753,J EXP PSYCHOL LEARN,2,0,0,0,0,0,0,0,0,0,0,2
108,0.316,J MIND BEHAV,2,0,0,0,0,0,1,0,0,0,1,0
109, ,KNOWLEDGE FLOW INFOR,2,0,0,0,0,0,0,0,0,0,0,2
110, ,KNOWLEDGE LANGUAGE,2,0,0,0,0,0,0,0,0,0,0,2
111, ,LANGUAGE THOUGHT,2,0,0,0,0,0,0,0,0,0,0,2
112, ,LANGUAGE THOUGHT INT,2,0,0,2,0,0,0,0,0,0,0,0
113, ,LECT GOV BINDING,2,0,0,0,0,0,0,0,0,0,0,2
114,1.507,MEM COGNITION,2,0,0,0,0,0,0,0,0,0,0,2
115, ,MIND DES,2,0,0,0,0,0,0,0,0,0,0,2
116, ,MIND LANGUAGE REALIT,2,0,0,0,0,0,0,0,0,0,0,2
117, ,MIND WORLD,2,0,0,0,0,0,0,2,0,0,0,0
118, ,MINN STUD PH,2,0,0,0,0,0,0,0,0,0,0,2
119, ,MODULARITY MIND,2,0,0,0,0,0,0,0,0,0,0,2
120, ,MONIST,2,0,0,0,0,0,0,0,0,1,0,1
121, ,NATURALIZING MIND,2,0,0,0,0,0,2,0,0,0,0,0
122, ,NEURON,2,0,0,0,0,2,0,0,0,0,0,0
123, ,NEUROPHILOSOPHY UNIF,2,0,0,0,0,0,0,0,0,0,0,2
124,2.778,NEUROPSYCHOLOGIA,2,0,0,1,0,0,0,1,0,0,0,0
125,0.219,NEW IDEAS PSYCHOL,2,0,0,1,0,1,0,0,0,0,0,0
126, ,P ROY SOC LOND B BIO,2,0,1,0,0,0,0,0,0,0,0,1
127, ,PARALLEL DISTRIBUTED,2,0,0,0,0,0,0,0,0,0,0,2
128,1.193,PERCEPTION,2,0,0,1,1,0,0,0,0,0,0,0
129, ,PHILOS FLESH EMBODIE,2,0,2,0,0,0,0,0,0,0,0,0
130, ,PHILOS INVEST,2,0,0,0,1,0,0,0,0,0,0,1
131, ,PHILOS MIND,2,0,0,0,0,1,1,0,0,0,0,0
132, ,PHILOS STUD,2,0,1,0,0,0,0,0,0,1,0,0
133, ,PSYCHONEURAL REDUCTI,2,0,0,2,0,0,0,0,0,0,0,0
134, ,PSYCHOSEMANTICS,2,0,0,0,0,0,0,0,0,0,0,2
135, ,RATIO SCALING PSYCHO,2,0,0,0,0,0,0,0,0,0,2,0
136, ,REMARKS PHILOS PSYCH,2,0,0,0,0,0,0,0,0,0,0,2
137, ,RULES REPRESENTATION,2,0,0,0,0,0,0,0,0,0,0,2
138,3.506,SCHIZOPHR RES,2,0,0,1,0,1,0,0,0,0,0,0
139, ,SCI PERCEPTION REALI,2,0,0,0,0,0,0,0,0,0,0,2
140, ,SCI REALISM PLASTICI,2,0,0,0,0,0,0,0,0,0,0,2
141, ,SEMANTICS NATURAL LA,2,0,0,0,0,0,0,0,0,0,0,2
142, ,SIMILARITY ANAL REAS,2,0,0,0,0,0,0,0,0,0,0,2
143, ,SUBJECT THOUGHT CONT,2,0,0,0,0,0,0,0,0,0,0,2
144, ,SYST THEORIES PRI,2,0,0,2,0,0,0,0,0,0,0,0
145,2.338,U CHICAGO LAW REV,2,0,0,1,0,1,0,0,0,0,0,0
146, ,UNDERSTANDING REPRES,2,0,0,0,0,0,0,0,0,0,2,0
147, ,WELL BEING FDN HEDON,2,0,1,0,0,0,0,0,0,0,0,1
148, ,WHITE QUEEN PSYCHOL,2,0,0,0,0,0,0,0,2,0,0,0
149, ,WORD OBJECT,2,0,0,0,0,0,0,0,0,0,0,2
150, ,WORDS THOUGHTS THEOR,2,0,0,0,2,0,0,0,0,0,0,0
Copyright Â© 2018 Clarivate Analytics,,,,,,,,,,,,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,,,,,,,,,,,
