Cited Journal Data,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,Rest
1,,ALL Journals,323,2,12,21,42,9,12,19,22,5,19,160
2,,ALL OTHERS (41),41,0,1,3,4,2,2,8,4,0,1,16
3,0.971,COGN LINGUIST,87,1,4,2,6,1,0,0,0,1,4,68
4,,ENGL LANG LINGUIST,15,0,0,2,3,0,3,1,1,0,0,5
5,0.373,LANG SCI,14,0,1,0,2,1,1,1,0,1,3,4
6,,STUD LANG,13,0,0,0,4,0,1,2,1,2,0,3
7,,STUD LINGUISTICA,13,0,0,0,2,0,0,1,1,1,2,6
8,0.484,J PRAGMATICS,12,0,2,0,1,1,0,1,1,0,1,5
9,,J HIST PRAGMAT,9,0,0,1,0,2,1,0,0,0,1,4
10,,LANG TEACH RES,8,0,0,0,3,0,1,0,1,0,0,3
11,1.040,METAPHOR SYMBOL,7,0,1,1,0,0,0,0,1,0,0,4
12,3.831,COGNITION,6,0,0,3,0,0,0,0,1,0,0,2
13,,FOLIA LINGUIST,6,0,0,3,0,0,1,0,0,0,0,2
14,,LECT NOTES ARTIF INT,6,0,0,0,0,1,0,0,0,0,0,5
15,,LECT NOTES COMPUT SC,6,0,1,1,1,0,0,0,1,0,0,2
16,0.338,LINGUISTICS,6,1,0,0,0,0,1,0,0,0,0,4
17,1.485,STUD SECOND LANG ACQ,6,0,0,1,0,0,0,0,5,0,0,0
18,2.641,BRAIN LANG,5,0,0,0,0,0,0,1,1,0,0,3
19,0.556,LINGUA,5,0,0,0,1,0,0,1,0,0,1,2
20,0.880,J CHILD LANG,4,0,0,0,2,0,0,1,0,0,1,0
21,0.788,J LINGUIST,4,0,0,0,3,0,0,0,0,0,0,1
22,1.756,AM BANKRUPT LAW J,3,0,1,0,0,0,0,0,0,0,1,1
23,3.038,DEV PSYCHOL,3,0,0,1,0,0,0,0,1,0,1,0
24,1.822,INT J GEOGR INF SCI,3,0,0,0,0,0,0,0,0,0,0,3
25,0.793,MOD LANG J,3,0,0,0,1,0,0,1,1,0,0,0
26,0.793,NEW IDEAS PSYCHOL,3,0,1,1,1,0,0,0,0,0,0,0
27,,P SOC PHOTO-OPT INS,3,0,0,0,0,0,0,0,0,0,0,3
28,1.178,APPL LINGUIST,2,0,0,0,0,0,0,0,0,0,0,2
29,3.382,CHILD DEV,2,0,0,0,1,0,0,0,1,0,0,0
30,,GEOINFORMATICA,2,0,0,0,0,0,0,0,0,0,0,2
31,,INT J INTELL SYST,2,0,0,0,0,0,0,1,0,0,0,1
32,1.386,INT STUD QUART,2,0,0,1,0,0,0,0,0,0,0,1
33,4.997,J COGNITIVE NEUROSCI,2,0,0,0,1,0,0,0,1,0,0,0
34,,J LITERARY SEMANTICS,2,0,0,1,0,0,0,0,0,0,1,0
35,,LANG COMPUT,2,0,0,0,0,0,0,0,0,0,0,2
36,1.976,LANGUAGE,2,0,0,0,1,0,0,0,0,0,1,0
37,,NARRATIVE,2,0,0,0,1,1,0,0,0,0,0,0
38,,NEUROIMAGE,2,0,0,0,0,0,0,0,0,0,0,2
39,3.630,NEUROPSYCHOLOGIA,2,0,0,0,0,0,0,0,0,0,0,2
40,2.714,PSYCHOL LEARN MOTIV,2,0,0,0,1,0,0,0,0,0,0,1
41,,REV SIGNOS,2,0,0,0,0,0,1,0,0,0,0,1
42,,T PHILOL SOC,2,0,0,0,1,0,0,0,0,0,1,0
43,,Z ANGLIST AM,2,0,0,0,2,0,0,0,0,0,0,0
Copyright Â© 2018 Clarivate Analytics,,,,,,,,,,,,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,,,,,,,,,,,
