Cited Journal Data: COGNITIVE SCIENCE,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1,,ALL Journals,1194,0,29,28,35,26,44,66,61,48,37,820
2,,ALL OTHERS (195),195,0,3,2,6,5,6,6,9,12,6,140
3,1.507,MEM COGNITION,36,0,2,3,1,0,1,3,2,1,2,21
4,1.629,COGNITIVE SCI,35,0,0,0,3,0,0,4,3,0,1,24
5,14.250,BEHAV BRAIN SCI,30,0,6,0,0,2,2,0,0,2,0,18
6,0.333,INT J HUM-COMPUT ST,29,0,1,0,1,1,3,1,9,0,0,13
7,2.622,COGNITION,24,0,1,0,0,1,3,2,0,0,2,15
8,2.753,J EXP PSYCHOL LEARN,24,0,3,1,0,0,2,4,2,0,1,11
9,,LECT NOTES ARTIF INT,23,0,0,0,1,0,2,0,0,1,0,19
10,3.463,COGNITIVE PSYCHOL,22,0,0,2,1,0,1,2,2,0,3,11
11,,LECT NOTES COMPUT SC,19,0,0,0,0,0,4,0,0,1,2,12
12,0.212,J COMPUT ASSIST LEAR,17,0,0,1,1,0,0,1,1,0,0,13
13,6.069,PSYCHOL REV,16,0,1,0,0,0,0,1,1,2,1,10
14,1.286,J LEARN SCI,14,0,0,0,2,0,0,3,1,0,0,8
15,2.638,J MEM LANG,14,0,0,1,0,1,0,0,2,1,1,8
16,,AMST STUD THEORY HIS,13,0,0,2,0,0,0,0,0,0,0,11
17,,CONNECT SCI,13,0,1,0,0,0,0,1,0,0,0,11
18,0.286,AM J PSYCHOL,12,0,0,0,1,0,1,3,0,1,1,5
19,,ARTIF INTELL,12,0,0,0,1,0,1,0,0,0,0,10
20,0.696,COGNITION INSTRUCT,12,0,0,0,0,0,0,2,1,0,0,9
21,0.595,CONTEMP EDUC PSYCHOL,12,0,0,1,0,0,0,0,0,2,1,8
22,0.705,INT J SCI EDUC,12,0,0,0,0,0,0,3,0,0,0,9
23,,PSYCHOL LEARN MOTIV,12,0,0,1,0,0,0,2,0,0,1,8
24,0.954,HUM FACTORS,11,0,0,0,1,0,1,2,0,0,0,7
25,,ARTIF INTELL REV,10,0,0,0,0,0,0,0,0,1,0,9
26,1.357,DEV REV,10,0,0,0,2,0,0,0,1,0,0,7
27,0.471,PHILOS PSYCHOL,10,0,0,1,0,0,1,1,1,1,0,5
28,,MACH LEARN,9,0,0,0,1,0,0,2,0,0,1,5
29,,NEUROCOMPUTING,9,0,0,0,0,0,0,0,0,0,1,8
30,,ADV NEUR IN,8,0,0,0,0,1,0,0,0,1,1,5
31,1.844,J EDUC PSYCHOL,8,0,0,0,0,0,0,0,0,0,0,8
32,0.405,J PRAGMATICS,8,0,0,0,0,0,1,0,0,0,0,7
33,0.725,J PSYCHOLINGUIST RES,8,0,0,0,0,3,1,0,1,0,0,3
34,0.536,LEARN INSTR,8,0,0,0,1,1,0,1,2,1,0,2
35,1.580,PSYCHON B REV,8,0,0,0,0,0,2,0,1,0,1,4
36,,ACAD MED,7,0,0,0,0,0,0,0,0,2,0,5
37,,ADV CHILD DEV BEHAV,7,0,0,0,0,0,0,1,1,0,0,5
38,,EXPERT SYST,7,0,0,0,0,0,0,1,0,0,0,6
39,0.992,J RES SCI TEACH,7,0,0,0,0,1,0,1,0,0,0,5
40,1.200,ORGAN BEHAV HUM DEC,7,0,0,0,0,0,1,0,0,1,0,5
41,0.212,TRAV HUMAIN,7,0,0,0,0,0,1,0,0,0,0,6
42,,ACTA ANALYT,6,0,0,0,0,0,0,0,2,0,1,3
43,,BCS CONF SERIES,6,0,0,0,1,0,0,0,0,0,0,5
44,,COMPUT INTELL,6,0,0,0,0,0,0,0,0,0,0,6
45,0.452,EUR J COGN PSYCHOL,6,0,0,0,0,0,0,1,0,1,0,4
46,1.226,J AM SOC INFORM SCI,6,0,0,0,0,1,0,0,1,0,0,4
47,0.477,J APPL DEV PSYCHOL,6,0,0,1,0,0,0,0,1,0,0,4
48,0.875,LANG COGNITIVE PROC,6,0,1,1,0,0,0,0,2,0,0,2
49,,MIND MACH,6,0,0,2,0,0,1,0,0,0,0,3
50,,NEURAL COMPUT,6,0,0,0,0,0,0,1,0,1,0,4
51,,USER MODEL USER-ADAP,6,0,0,0,0,0,0,0,0,0,1,5
52,,APPL ARTIF INTELL,5,0,0,0,0,0,0,0,0,0,1,4
53,1.053,BRIT J PSYCHOL,5,0,2,0,0,0,1,0,1,0,0,1
54,0.300,COMPUT EDUC,5,0,0,0,0,0,0,1,0,0,0,4
55,1.962,CONSCIOUS COGN,5,0,1,1,0,1,0,0,0,0,0,2
56,2.044,DEV PSYCHOL,5,0,0,0,0,0,0,0,0,0,0,5
57,,FR ART INT,5,0,0,0,0,0,0,0,0,0,0,5
58,,IEEE SYS MAN CYBERN,5,0,0,0,0,0,0,0,0,1,1,3
59,,IEEE T SYST MAN CY B,5,0,0,0,0,0,0,0,0,0,0,5
60,1.093,INFORM SYST RES,5,0,0,0,0,0,0,0,0,0,0,5
61,0.945,J CHILD LANG,5,0,0,0,0,0,1,0,0,0,0,4
62,3.636,J EXP PSYCHOL GEN,5,0,1,0,0,0,0,0,1,0,0,3
63,0.316,J MIND BEHAV,5,0,0,0,0,0,0,0,0,0,0,5
64,0.385,MIND LANG,5,0,0,1,0,0,0,0,0,0,0,4
65,0.308,PERCEPT MOTOR SKILL,5,0,0,0,0,0,0,0,0,0,0,5
66,1.252,PERCEPT PSYCHOPHYS,5,0,0,0,1,0,0,0,0,0,1,3
67,0.663,PHILOS SCI,5,0,0,1,0,0,0,0,0,0,0,4
68,0.417,PSYCHOL BELG,5,0,0,0,0,0,0,1,0,0,1,3
69,1.452,Q J EXP PSYCHOL-A,5,0,1,0,0,0,0,0,1,0,0,3
70,,TRENDS COGN SCI,5,0,1,0,1,0,0,0,0,0,0,3
71,5.851,ANNU REV PSYCHOL,4,0,0,1,0,0,0,0,0,0,0,3
72,,APPL INTELL,4,0,0,0,0,0,0,0,0,0,0,4
73,0.962,COGNITIVE DEV,4,0,0,0,0,0,1,0,0,0,0,3
74,2.180,COGNITIVE NEUROPSYCH,4,0,0,0,0,0,0,0,0,1,0,3
75,1.581,DISCOURSE PROCESS,4,0,0,0,0,0,0,0,0,0,0,4
76,0.691,ERGONOMICS,4,0,0,0,0,0,0,0,0,0,0,4
77,,EXP RES APPL,4,0,0,0,0,0,1,0,0,0,0,3
78,,HUM-COMPUT INTERACT,4,0,0,0,1,0,1,1,1,0,0,0
79,,IEEE T SYST MAN CY A,4,0,0,0,0,1,1,0,0,1,0,1
80,,IEICE T INF SYST,4,0,0,0,1,0,0,0,0,0,0,3
81,,IMAGE VISION COMPUT,4,0,0,0,0,0,0,0,1,0,0,3
82,0.651,INSTR SCI,4,0,0,0,0,0,0,1,0,0,0,3
83,0.769,J ADV NURS,4,0,0,0,0,0,0,0,0,1,0,3
84,0.086,J EDUC COMPUT RES,4,0,0,0,0,0,0,0,0,0,0,4
85,,J INTELL MANUF,4,0,0,0,0,0,0,0,0,0,0,4
86,0.294,J RES MATH EDUC,4,0,0,0,1,0,0,1,0,0,0,2
87,0.830,LEADERSHIP QUART,4,0,0,0,0,0,0,0,0,0,0,4
88,,NEURAL NETWORKS,4,0,0,0,0,0,0,0,0,1,0,3
89,1.193,PERCEPTION,4,0,2,0,0,0,0,0,0,0,0,2
90,,PERSP NEURAL COMP,4,0,0,0,0,0,0,0,0,0,0,4
91,,PRAG BEYOND NEW SER,4,0,0,0,0,0,0,0,0,0,0,4
92,,SIGCSE BULL,4,0,1,1,0,1,0,0,0,0,0,1
93,0.357,SPRACHE KOGNIT,4,0,0,0,0,0,0,1,0,0,0,3
94,1.743,Z PADAGOG PSYCHOL,4,0,0,0,1,0,0,1,0,0,0,2
95,,AM J PHYS,3,0,0,0,0,0,0,0,0,0,0,3
96,,BEITR DIALOGFORSCH,3,0,0,0,0,2,0,0,0,0,0,1
97,0.318,BRIT J EDUC TECHNOL,3,0,0,0,0,1,0,0,0,0,0,2
98,2.768,CHILD DEV,3,0,0,0,0,0,0,0,0,0,0,3
99,0.818,COMMUN THEOR,3,0,0,0,0,0,0,0,0,0,0,3
100,,DATA KNOWL ENG,3,0,0,0,0,0,0,0,0,0,0,3
101,0.473,DECISION SCI,3,0,0,0,0,0,0,0,0,0,0,3
102,,IEEE T FUZZY SYST,3,0,0,0,0,0,0,0,0,0,0,3
103,,IEEE T SYST MAN CY C,3,0,0,0,0,0,0,0,0,2,0,1
104,0.706,INT J BEHAV DEV,3,0,0,0,0,0,0,0,0,0,0,3
105,1.276,J EXP CHILD PSYCHOL,3,0,0,0,0,0,0,0,0,0,0,3
106,0.386,J EXP EDUC,3,0,0,0,1,0,0,1,0,0,0,1
107,2.247,J EXP PSYCHOL HUMAN,3,0,0,0,0,0,0,0,1,0,0,2
108,0.519,J GEN PSYCHOL,3,0,0,0,0,1,0,0,0,0,1,1
109,0.525,J LANG SOC PSYCHOL,3,0,0,0,0,0,0,0,0,0,0,3
110,,J NEUROPHYSIOL,3,0,0,0,0,0,0,0,0,3,0,0
111,,J PHILOS,3,0,0,2,0,0,0,0,0,0,0,1
112,,J PIAGET SY,3,0,0,0,0,0,0,0,0,0,0,3
113,,LACUS FORUM,3,0,0,0,0,0,0,0,0,0,0,3
114,,MED EDUC,3,0,0,0,0,0,0,0,0,0,0,3
115,2.064,MIS QUART,3,0,0,0,0,0,0,0,0,0,0,3
116,0.317,NEGOTIATION J,3,0,0,0,0,0,0,0,0,0,0,3
117,,NEURAL PROCESS LETT,3,0,0,0,0,0,0,0,0,0,1,2
118,,P ASIS ANN,3,0,0,0,0,0,0,0,0,0,0,3
119,,PATTERN RECOGN,3,0,0,0,0,0,0,0,0,0,0,3
120,2.308,PSYCHOL AGING,3,0,0,0,0,0,0,0,0,0,0,3
121,1.360,PSYCHOL RES-PSYCH FO,3,0,1,0,0,0,0,0,0,1,0,1
122,0.918,SCI EDUC,3,0,0,0,0,0,0,0,0,0,0,3
123,,AM EDUC RES J,2,0,0,0,0,0,0,0,0,0,0,2
124,0.327,AM J FAM THER,2,0,0,0,0,0,0,0,0,0,0,2
125,6.857,AM PSYCHOL,2,0,0,0,0,0,0,0,2,0,0,0
126,,AM STAT,2,0,0,0,0,0,0,0,0,0,0,2
127,,ANN MATH ARTIF INTEL,2,0,0,0,0,0,0,0,0,0,0,2
128,0.238,ANN PSYCHOL,2,0,0,1,0,0,0,0,0,0,0,1
129,0.929,APPL COGNITIVE PSYCH,2,0,0,0,0,0,0,0,0,0,0,2
130,0.642,APPL ERGON,2,0,0,0,0,0,0,1,0,1,0,0
131,,APPL OPTIMIZAT,2,0,0,0,0,1,0,0,1,0,0,0
132,,ARCHIT DESIGN,2,0,0,0,0,0,1,1,0,0,0,0
133,,ARTIF INTELL ENG,2,0,0,0,0,0,0,0,0,0,0,2
134,1.473,BRAIN LANG,2,0,0,0,0,0,0,0,1,0,1,0
135,0.260,CAH PSYCHOL COGN,2,0,0,0,1,0,0,0,0,0,0,1
136,0.238,CAN J LING/REV CAN L,2,0,0,0,0,0,0,0,1,0,0,1
137,0.295,CESK PSYCHOL,2,0,0,0,0,0,0,0,0,0,0,2
138,,COG LIN RES,2,0,0,0,0,0,0,0,0,0,0,2
139,,COMPUT SPEECH LANG,2,0,0,0,0,0,0,0,0,0,0,2
140,3.517,EDUC PSYCHOL,2,0,0,0,0,0,0,0,0,0,0,2
141,0.667,EDUC RES,2,0,0,0,0,0,0,1,0,0,0,1
142,0.258,EUR J PSYCHOL EDUC,2,0,0,0,0,0,0,1,0,0,0,1
143,,EXPERT SYST APPL,2,0,0,0,0,0,0,0,0,0,0,2
144,0.577,HUM DEV,2,0,0,0,0,0,0,0,0,0,0,2
145,,IBM SYST J,2,0,0,0,0,0,0,1,0,0,0,1
146,,IEEE INFOR VIS,2,0,0,0,0,0,0,0,0,0,0,2
147,,IEEE T NEURAL NETWOR,2,0,0,0,0,0,0,0,0,0,0,2
148,,IFAC SYMP SERIES,2,0,0,0,0,0,0,0,0,0,0,2
149,0.719,INFORM PROCESS MANAG,2,0,0,0,0,0,0,0,0,1,0,1
150,,INFORM SCIENCES,2,0,0,0,0,0,0,0,0,0,0,2
151,,INT J APPROX REASON,2,0,0,0,0,0,0,0,0,0,2,0
152,0.198,INT J TECHNOL MANAGE,2,0,0,0,0,0,0,0,0,0,0,2
153,,INTELL AUTOM SOFT CO,2,0,0,0,0,0,0,0,0,0,0,2
154,0.980,J ACAD MARKET SCI,2,0,0,0,0,0,0,0,0,0,0,2
155,3.089,J AM MED INFORM ASSN,2,0,0,0,0,0,0,0,0,0,0,2
156,5.115,J COGNITIVE NEUROSCI,2,0,0,0,0,1,0,1,0,0,0,0
157,1.477,J COMP PSYCHOL,2,0,0,0,0,0,0,0,0,0,0,2
158,,J CONSCIOUSNESS STUD,2,0,0,0,1,0,0,0,0,0,0,1
159,0.351,J EDUC RES,2,0,0,0,0,0,0,0,1,0,0,1
160,,J EXP THEOR ARTIF IN,2,0,0,1,0,0,0,1,0,0,0,0
161,3.172,J PERS SOC PSYCHOL,2,0,0,0,0,0,0,0,0,0,0,2
162,,J VISUAL LANG COMPUT,2,0,0,0,0,0,0,0,0,0,0,2
163,1.356,J VOCAT BEHAV,2,0,0,0,0,0,0,0,2,0,0,0
164,,KOREAN J CHEM ENG,2,0,0,0,0,0,0,0,0,1,0,1
165,3.371,LANGUAGE,2,0,0,0,0,0,0,0,0,0,0,2
166,0.407,LIBR QUART,2,0,0,0,0,0,0,0,0,0,0,2
167,,NATURE,2,0,0,0,0,0,0,0,0,0,0,2
168,,PHILOS T ROY SOC B,2,0,0,0,0,0,0,0,0,1,0,1
169,,PROC ANN BUCLD,2,0,0,0,0,0,0,0,1,0,0,1
170,0.473,PSICOTHEMA,2,0,0,0,0,0,0,0,0,0,0,2
171,2.565,PSYCHOL SCI,2,0,0,0,0,0,0,1,0,0,0,1
172,,REV COMP CH,2,0,0,0,0,0,0,0,0,0,0,2
173,,ROBOT AUTON SYST,2,0,0,0,0,0,1,0,0,1,0,0
174,0.886,SOC DEV,2,0,0,0,1,0,0,1,0,0,0,0
175,,STUD LINGUISTICA,2,0,0,0,0,0,0,0,0,0,0,2
176,,TEACH LEARN MED,2,0,0,0,0,0,1,0,0,0,0,1
177,1.372,THEOR PSYCHOL,2,0,0,0,0,0,0,0,0,0,0,2
178,0.295,VIS COGN,2,0,0,0,0,0,0,0,0,0,0,2
179,0.189,Z PADAGOGIK,2,0,0,0,1,0,0,0,0,0,0,1
Copyright Â© 2018 Clarivate Analytics,,,,,,,,,,,,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,,,,,,,,,,,
